content:Recipe,,,,,,,
recipe_name,recipe_minutes,recipe_nsteps,recipe_steps,recipe_description,recipe_date_submitted,recipe_ningredients,recipe_contributor
arriba baked winter squash mexican style,55,11,"Make a choice and proceed with recipe, depending on size of squash, cut into half or fourths, remove seeds, for spicy squash, drizzle olive oil or melted butter over each cut squash piece, season with mexican seasoning mix ii, for sweet squash , drizzle melted honey, butter, grated piloncillo over each cut squash piece, season with sweet mexican spice mix, bake at 350 degrees , again depending on size, for 40 minutes up to an hour, until a fork can easily pierce the skin, be careful not to burn the squash especially if you opt to use sugar or butter, if you feel more comfortable, cover the squash with aluminum foil the first half hour, give or take, of baking, if desired , season with salt.","Autumn is my favorite time of year to cook! this recipe 
can be prepared either spicy or sweet, your choice!
two of my posted mexican-inspired seasoning mix recipes are offered as suggestions.",2005-09-16,7,markjones@recipes.ie
alouette potatoes,45,11,"Place potatoes in a large pot of lightly salted water and bring to a gentle boil, cook until potatoes are just tender, drain, place potatoes in a large bowl and add all ingredients except the alouette, mix well and transfer to a buttered 8x8 inch glass baking dish with 2 inch sides, press the potatoes with a spatula to make top as flat as possible, set aside for 2 hours at room temperature, preheat oven to 350^f, spread alouette evenly over potatoes and bake 15 minutes, divide between plates, garnish with finely diced red and yellow bell peppers.","This is a super easy, great tasting, make ahead side dish that looks like you spent a lot more time preparing than you actually do. plus, most everything is done in advance. the times do not reflect the standing time of the potatoes.",2003-04-14,11,lanamartinez@recipes.ie
berry good sandwich spread,5,2,"In medium size bowl , coarsely mash cranberry sauce, stir in sour cream and horseradish until well blended.","Horseradish is one of my favorite condiments as well as cranberry sauce. this is sweet and hot. i enjoy it on a smoked turkey & swiss sandwich, but also good alongside baked ham or roast beef.",2005-01-25,3,lanamartinez@recipes.ie
chicken lickin good porkchops,500,5,"Dredge pork chops in mixture of flour , salt , dry mustard and garlic powder, brown in oil in a large skillet, place browned pork chops in a crock pot, add the can of soup, undiluted, cover and cook on low for 6-8 hours",Here Is and old standby I enjoy from time to time. It is from an old newspaper clipping I cut out years ago. very tasty.,2003-06-06,7,markjones@recipes.ie
emotional balance spice mixture,10,2,"Mix the spices together and store in an airtight container, saute small amounts in butter/ghee to spice vegetables and grains.",Really an effective spice blend...i got it in one of maharishi ayurveda newsletters and thought of sharing here ! hope this will help you melt your blues away.. :-)).,2002-09-12,6,markjones@recipes.ie
forgotten minestrone,495,5,"In a slow cooker, combine the first nine ingredients, cover and cook on low for 7-9 hours or until meat is tender, add zucchini , cabbage , beans and macaroni, cook on high 30-45 minutes more or until the vegetables are tender, sprinkle individual servings with parmesan cheese",This recipe came from a ,2004-06-11,14,lanamartinez@recipes.ie
grilled ranch bread,13,4,"Cream the butter with the dressing mix, spread evenly on the bread halves, place under the broiler for 2-3 minutes, until golden and the butter begins to seep and bubble, serve hot.",Buttery and ,2002-11-22,3,lanamartinez@recipes.ie
i can t believe it is spinach,30,5,"Combine all ingredients in a large bowl and mix well, shape into one-inch balls, cover and refrigerate or freeze until ready to bake, preheat oven to 350 degrees, place on ungreased baking sheet and bake until light brown.","These were so go, it surprised even me.",2002-08-29,8,lanamartinez@recipes.ie
,,,,,,,
,,,,,,,
content:Tag,,,,,,,
tag_tag,,,,,,,
60-minutes-or-less,,,,,,,
time-to-make,,,,,,,
course,,,,,,,
main-ingredient,,,,,,,
cuisine,,,,,,,
preparation,,,,,,,
occasion,,,,,,,
north-american,,,,,,,
side-dishes,,,,,,,
vegetables,,,,,,,
mexican,,,,,,,
easy,,,,,,,
fall,,,,,,,
holiday-event,,,,,,,
vegetarian,,,,,,,
winter,,,,,,,
dietary,,,,,,,
christmas,,,,,,,
seasonal,,,,,,,
squash,,,,,,,
eggs-dairy,,,,,,,
potatoes,,,,,,,
oven,,,,,,,
dinner-party,,,,,,,
easter,,,,,,,
cheese,,,,,,,
stove-top,,,,,,,
christmas,,,,,,,
new-years,,,,,,,
thanksgiving,,,,,,,
independence-day,,,,,,,
st-patricks-day,,,,,,,
valentines-day,,,,,,,
inexpensive,,,,,,,
brunch,,,,,,,
superbowl,,,,,,,
equipment,,,,,,,
presentation,,,,,,,
served-hot,,,,,,,
15-minutes-or-less,,,,,,,
low-protein,,,,,,,
healthy,,,,,,,
5-ingredients-or-less,,,,,,,
condiments-etc,,,,,,,
low-sodium,,,,,,,
low-in-something,,,,,,,
3-steps-or-less,,,,,,,
weeknight,,,,,,,
main-dish,,,,,,,
